交互检查规则,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
导出规则,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
分类,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
表头,编号,名称,商品编号,渠道类型,商品类型,商品子类型,排序,价格,玉珏,正常赠送,每日赠送,首充赠送,标签,图标,首冲礼包,物品数量,图标,2次充值礼包,物品数量,图标,3次充值礼包,物品数量,图标,描述,充值赠赠送百分比,联想平台用,VIP等级显示,渠道特惠购买对应苹果id,名字,数量
,17005,6480玉玦,cn.gamejelly.gong8_6480yj,20,1,6,8,648,6480,1288,,6480,1,1005,22015,22052,,,,,,,,,,,,,,
,17006,月卡,cn.gamejelly.gong.appstore_yk,20,3,7,2,30,300,,50,300,1,1006,,,,,,,,,,30天每天领取50玉珏,0.05,,,,,
,17007,周卡,cn.gamejelly.gong.appstore_zk,20,2,8,1,10,100,,60,100,1,1007,,,,,,,,,,7天每天领取60玉珏,0.05,,,,,
,17008,10玉玦,cn.gamejelly.gong8_10yj,20,1,9,0,1,10,1,,10,1,10,22015,,,,,,,,,,,,,,,
,17009,32400玉玦,cn.gamejelly.gong8_32400yj,20,1,10,-1,3240,32400,10325,,0,1,1000,22015,22052,,,,,200,,,,,,,,,
,17010,36000玉玦,cn.gamejelly.gong.gong8_36000yj,20,1,11,-2,3600,36000,10800,,0,1,1000,22015,22052,,,,,12,,,,,,,,,
,18000,60玉玦,cn.gamejelly.gong9_60yj,21,1,1,3,6,60,6,,60,1,1000,22015,,,,,,,,,,,,,,,
,18001,300玉玦,cn.gamejelly.gong9_300yj,21,1,2,4,30,300,30,,300,1,1001,22015,22052,,,,,,,,,,,,,,
,18002,980玉玦,cn.gamejelly.gong9_980yj,21,1,3,5,98,980,128,,980,1,1002,22015,22052,,,,,,,,,,,,,,
,18003,1980玉玦,cn.gamejelly.gong9_1980yj,21,1,4,6,198,1980,288,,1980,1,1003,22015,22052,,,,,,,,,,,,,,
,18004,3280玉玦,cn.gamejelly.gong9_3280yj,21,1,5,7,328,3280,628,,3280,1,1004,22015,22052,,,,,,,,,,,,,,
,18005,6480玉玦,cn.gamejelly.gong9_6480yj,21,1,6,8,648,6480,1288,,6480,1,1005,22015,22052,,,,,,,,,,,,,,
,18006,月卡,cn.gamejelly.gong.appstore_yk,21,3,7,2,30,300,,50,300,1,1006,,,,,,,,,,30天每天领取50玉珏,0.05,,,,,
,18007,周卡,cn.gamejelly.gong.appstore_zk,21,2,8,1,10,100,,60,100,1,1007,,,,,,,,,,7天每天领取60玉珏,0.05,,,,,
,18008,10玉玦,cn.gamejelly.gong9_10yj,21,1,9,0,1,10,1,,10,1,10,22015,,,,,,,,,,,,,,,
,18009,32400玉玦,cn.gamejelly.gong9_32400yj,21,1,10,-1,3240,32400,10325,,0,1,1000,22015,22052,,,,,200,,,,,,,,,
,18010,36000玉玦,cn.gamejelly.gong.gong9_36000yj,21,1,11,-2,3600,36000,10800,,0,1,1000,22015,22052,,,,,12,,,,,,,,,
,19000,60玉玦,cn.gamejelly.gong10_60yj,22,1,1,3,6,60,6,,60,1,1000,22015,,,,,,,,,,,,,,,
,19001,300玉玦,cn.gamejelly.gong10_300yj,22,1,2,4,30,300,30,,300,1,1001,22015,22052,,,,,,,,,,,,,,
,19002,980玉玦,cn.gamejelly.gong10_980yj,22,1,3,5,98,980,128,,980,1,1002,22015,22052,,,,,,,,,,,,,,
,19003,1980玉玦,cn.gamejelly.gong10_1980yj,22,1,4,6,198,1980,288,,1980,1,1003,22015,22052,,,,,,,,,,,,,,
,19004,3280玉玦,cn.gamejelly.gong10_3280yj,22,1,5,7,328,3280,628,,3280,1,1004,22015,22052,,,,,,,,,,,,,,
,19005,6480玉玦,cn.gamejelly.gong10_6480yj,22,1,6,8,648,6480,1288,,6480,1,1005,22015,22052,,,,,,,,,,,,,,
,19006,月卡,cn.gamejelly.gong.appstore_yk,22,3,7,2,30,300,,50,300,1,1006,,,,,,,,,,30天每天领取50玉珏,0.05,,,,,
,19007,周卡,cn.gamejelly.gong.appstore_zk,22,2,8,1,10,100,,60,100,1,1007,,,,,,,,,,7天每天领取60玉珏,0.05,,,,,
,19008,10玉玦,cn.gamejelly.gong10_10yj,22,1,9,0,1,10,1,,10,1,10,22015,,,,,,,,,,,,,,,
,19009,32400玉玦,cn.gamejelly.gong10_32400yj,22,1,10,-1,3240,32400,10325,,0,1,1000,22015,22052,,,,,200,,,,,,,,,
,19010,36000玉玦,cn.gamejelly.gong.gong10_36000yj,22,1,11,-2,3600,36000,10800,,0,1,1000,22015,22052,,,,,12,,,,,,,,,
,20000,60玉玦,cn.gamejelly.gong11_60yj,23,1,1,3,6,60,6,,60,1,1000,22015,,,,,,,,,,,,,,,
,20001,300玉玦,cn.gamejelly.gong11_300yj,23,1,2,4,30,300,30,,300,1,1001,22015,22052,,,,,,,,,,,,,,
,20002,980玉玦,cn.gamejelly.gong11_980yj,23,1,3,5,98,980,128,,980,1,1002,22015,22052,,,,,,,,,,,,,,
,20003,1980玉玦,cn.gamejelly.gong11_1980yj,23,1,4,6,198,1980,288,,1980,1,1003,22015,22052,,,,,,,,,,,,,,
,20004,3280玉玦,cn.gamejelly.gong11_3280yj,23,1,5,7,328,3280,628,,3280,1,1004,22015,22052,,,,,,,,,,,,,,
,20005,6480玉玦,cn.gamejelly.gong11_6480yj,23,1,6,8,648,6480,1288,,6480,1,1005,22015,22052,,,,,,,,,,,,,,
,20006,月卡,cn.gamejelly.gong.appstore_yk,23,3,7,2,30,300,,50,300,1,1006,,,,,,,,,,30天每天领取50玉珏,0.05,,,,,
,20007,周卡,cn.gamejelly.gong.appstore_zk,23,2,8,1,10,100,,60,100,1,1007,,,,,,,,,,7天每天领取60玉珏,0.05,,,,,
,20008,10玉玦,cn.gamejelly.gong11_10yj,23,1,9,0,1,10,1,,10,1,10,22015,,,,,,,,,,,,,,,
,20009,32400玉玦,cn.gamejelly.gong11_32400yj,23,1,10,-1,3240,32400,10325,,0,1,1000,22015,22052,,,,,200,,,,,,,,,
,20010,36000玉玦,cn.gamejelly.gong.gong11_36000yj,23,1,11,-2,3600,36000,10800,,0,1,1000,22015,22052,,,,,12,,,,,,,,,
,21000,60玉玦,cn.gamejelly.gong12_60yj,24,1,1,3,6,60,6,,60,1,1000,22015,,,,,,,,,,,,,,,
,21001,300玉玦,cn.gamejelly.gong12_300yj,24,1,2,4,30,300,30,,300,1,1001,22015,22052,,,,,,,,,,,,,,
,21002,980玉玦,cn.gamejelly.gong12_980yj,24,1,3,5,98,980,128,,980,1,1002,22015,22052,,,,,,,,,,,,,,
,21003,1980玉玦,cn.gamejelly.gong12_1980yj,24,1,4,6,198,1980,288,,1980,1,1003,22015,22052,,,,,,,,,,,,,,
,21004,3280玉玦,cn.gamejelly.gong12_3280yj,24,1,5,7,328,3280,628,,3280,1,1004,22015,22052,,,,,,,,,,,,,,
,21005,6480玉玦,cn.gamejelly.gong12_6480yj,24,1,6,8,648,6480,1288,,6480,1,1005,22015,22052,,,,,,,,,,,,,,
,21006,月卡,cn.gamejelly.gong.appstore_yk,24,3,7,2,30,300,,50,300,1,1006,,,,,,,,,,30天每天领取50玉珏,0.05,,,,,
,21007,周卡,cn.gamejelly.gong.appstore_zk,24,2,8,1,10,100,,60,100,1,1007,,,,,,,,,,7天每天领取60玉珏,0.05,,,,,
,21008,10玉玦,cn.gamejelly.gong12_10yj,24,1,9,0,1,10,1,,10,1,10,22015,,,,,,,,,,,,,,,
,21009,32400玉玦,cn.gamejelly.gong12_32400yj,24,1,10,-1,3240,32400,10325,,0,1,1000,22015,22052,,,,,200,,,,,,,,,
,21010,36000玉玦,cn.gamejelly.gong.gong12_36000yj,24,1,11,-2,3600,36000,10800,,0,1,1000,22015,22052,,,,,12,,,,,,,,,
,22000,60玉玦,cn.gamejelly.gong13_60yj,25,1,1,3,6,60,6,,60,1,1000,22015,,,,,,,,,,,,,,,
,22001,300玉玦,cn.gamejelly.gong13_300yj,25,1,2,4,30,300,30,,300,1,1001,22015,22052,,,,,,,,,,,,,,
,22002,980玉玦,cn.gamejelly.gong13_980yj,25,1,3,5,98,980,128,,980,1,1002,22015,22052,,,,,,,,,,,,,,
,22003,1980玉玦,cn.gamejelly.gong13_1980yj,25,1,4,6,198,1980,288,,1980,1,1003,22015,22052,,,,,,,,,,,,,,
,22004,3280玉玦,cn.gamejelly.gong13_3280yj,25,1,5,7,328,3280,628,,3280,1,1004,22015,22052,,,,,,,,,,,,,,
,22005,6480玉玦,cn.gamejelly.gong13_6480yj,25,1,6,8,648,6480,1288,,6480,1,1005,22015,22052,,,,,,,,,,,,,,
,22006,月卡,cn.gamejelly.gong.appstore_yk,25,3,7,2,30,300,,50,300,1,1006,,,,,,,,,,30天每天领取50玉珏,0.05,,,,,
,22007,周卡,cn.gamejelly.gong.appstore_zk,25,2,8,1,10,100,,60,100,1,1007,,,,,,,,,,7天每天领取60玉珏,0.05,,,,,
,22008,10玉玦,cn.gamejelly.gong13_10yj,25,1,9,0,1,10,1,,10,1,10,22015,,,,,,,,,,,,,,,
,22009,32400玉玦,cn.gamejelly.gong13_32400yj,25,1,10,-1,3240,32400,10325,,0,1,1000,22015,22052,,,,,200,,,,,,,,,
,22010,36000玉玦,cn.gamejelly.gong.gong13_36000yj,25,1,11,-2,3600,36000,10800,,0,1,1000,22015,22052,,,,,12,,,,,,,,,
,23000,60玉玦,cn.gamejelly.gong14_60yj,26,1,1,3,6,60,6,,60,1,1000,22015,,,,,,,,,,,,,,,
,23001,300玉玦,cn.gamejelly.gong14_300yj,26,1,2,4,30,300,30,,300,1,1001,22015,22052,,,,,,,,,,,,,,
,23002,980玉玦,cn.gamejelly.gong14_980yj,26,1,3,5,98,980,128,,980,1,1002,22015,22052,,,,,,,,,,,,,,
,23003,1980玉玦,cn.gamejelly.gong14_1980yj,26,1,4,6,198,1980,288,,1980,1,1003,22015,22052,,,,,,,,,,,,,,
,23004,3280玉玦,cn.gamejelly.gong14_3280yj,26,1,5,7,328,3280,628,,3280,1,1004,22015,22052,,,,,,,,,,,,,,
,23005,6480玉玦,cn.gamejelly.gong14_6480yj,26,1,6,8,648,6480,1288,,6480,1,1005,22015,22052,,,,,,,,,,,,,,
,23006,月卡,cn.gamejelly.gong.appstore_yk,26,3,7,2,30,300,,50,300,1,1006,,,,,,,,,,30天每天领取50玉珏,0.05,,,,,
,23007,周卡,cn.gamejelly.gong.appstore_zk,26,2,8,1,10,100,,60,100,1,1007,,,,,,,,,,7天每天领取60玉珏,0.05,,,,,
,23008,10玉玦,cn.gamejelly.gong14_10yj,26,1,9,0,1,10,1,,10,1,10,22015,,,,,,,,,,,,,,,
,23009,32400玉玦,cn.gamejelly.gong14_32400yj,26,1,10,-1,3240,32400,10325,,0,1,1000,22015,22052,,,,,200,,,,,,,,,
,23010,36000玉玦,cn.gamejelly.gong.gong14_36000yj,26,1,11,-2,3600,36000,10800,,0,1,1000,22015,22052,,,,,12,,,,,,,,,
,24000,60玉玦,cn.guodong.gong15_60yj,27,1,1,3,6,60,6,,60,1,1000,22015,,,,,,,,,,,,,,,
,24001,300玉玦,cn.guodong.gong15_300yj,27,1,2,4,30,300,30,,300,1,1001,22015,22052,,,,,,,,,,,,,,
,24002,980玉玦,cn.guodong.gong15_980yj,27,1,3,5,98,980,128,,980,1,1002,22015,22052,,,,,,,,,,,,,,
,24003,1980玉玦,cn.guodong.gong15_1980yj,27,1,4,6,198,1980,288,,1980,1,1003,22015,22052,,,,,,,,,,,,,,
,24004,3280玉玦,cn.guodong.gong15_3280yj,27,1,5,7,328,3280,628,,3280,1,1004,22015,22052,,,,,,,,,,,,,,
,24005,6480玉玦,cn.guodong.gong15_6480yj,27,1,6,8,648,6480,1288,,6480,1,1005,22015,22052,,,,,,,,,,,,,,
,24006,月卡,cn.gamejelly.gong.appstore_yk,27,3,7,2,30,300,,50,300,1,1006,,,,,,,,,,30天每天领取50玉珏,0.05,,,,,
,24007,周卡,cn.gamejelly.gong.appstore_zk,27,2,8,1,10,100,,60,100,1,1007,,,,,,,,,,7天每天领取60玉珏,0.05,,,,,
,24008,10玉玦,cn.guodong.gong15_10yj,27,1,9,0,1,10,1,,10,1,10,22015,,,,,,,,,,,,,,,
,24009,32400玉玦,cn.guodong.gong15_32400yj,27,1,10,-1,3240,32400,10325,,0,1,1000,22015,22052,,,,,200,,,,,,,,,
,24010,36000玉玦,cn.guodong.gong.gong15_36000yj,27,1,11,-2,3600,36000,10800,,0,1,1000,22015,22052,,,,,12,,,,,,,,,
,25000,60玉玦,cn.gamejelly.gong16_60yj,28,1,1,3,6,60,6,,60,1,1000,22015,,,,,,,,,,,,,,,
,25001,300玉玦,cn.gamejelly.gong16_300yj,28,1,2,4,30,300,30,,300,1,1001,22015,22052,,,,,,,,,,,,,,
,25002,980玉玦,cn.gamejelly.gong16_980yj,28,1,3,5,98,980,128,,980,1,1002,22015,22052,,,,,,,,,,,,,,
,25003,1980玉玦,cn.gamejelly.gong16_1980yj,28,1,4,6,198,1980,288,,1980,1,1003,22015,22052,,,,,,,,,,,,,,
,25004,3280玉玦,cn.gamejelly.gong16_3280yj,28,1,5,7,328,3280,628,,3280,1,1004,22015,22052,,,,,,,,,,,,,,
,25005,6480玉玦,cn.gamejelly.gong16_6480yj,28,1,6,8,648,6480,1288,,6480,1,1005,22015,22052,,,,,,,,,,,,,,
,25006,月卡,cn.gamejelly.gong.appstore_yk,28,3,7,2,30,300,,50,300,1,1006,,,,,,,,,,30天每天领取50玉珏,0.05,,,,,
,25007,周卡,cn.gamejelly.gong.appstore_zk,28,2,8,1,10,100,,60,100,1,1007,,,,,,,,,,7天每天领取60玉珏,0.05,,,,,
,25008,10玉玦,cn.gamejelly.gong16_10yj,28,1,9,0,1,10,1,,10,1,10,22015,,,,,,,,,,,,,,,
,25009,32400玉玦,cn.gamejelly.gong16_32400yj,28,1,10,-1,3240,32400,10325,,0,1,1000,22015,22052,,,,,200,,,,,,,,,
,25010,36000玉玦,cn.gamejelly.gong.gong16_36000yj,28,1,11,-2,3600,36000,10800,,0,1,1000,22015,22052,,,,,12,,,,,,,,,
,26000,60玉玦,cn.suzhou.guodong_60yj,29,1,1,3,6,60,6,,60,1,1000,22015,,,,,,,,,,,,,,,
,26001,300玉玦,cn.suzhou.guodong_300yj,29,1,2,4,30,300,30,,300,1,1001,22015,22052,,,,,,,,,,,,,,
,26002,980玉玦,cn.suzhou.guodong_980yj,29,1,3,5,98,980,128,,980,1,1002,22015,22052,,,,,,,,,,,,,,
,26003,1980玉玦,cn.suzhou.guodong_1980yj,29,1,4,6,198,1980,288,,1980,1,1003,22015,22052,,,,,,,,,,,,,,
,26004,3280玉玦,cn.suzhou.guodong_3280yj,29,1,5,7,328,3280,628,,3280,1,1004,22015,22052,,,,,,,,,,,,,,
,26005,6480玉玦,cn.suzhou.guodong_6480yj,29,1,6,8,648,6480,1288,,6480,1,1005,22015,22052,,,,,,,,,,,,,,
,26006,月卡,cn.gamejelly.gong.appstore_yk,29,3,7,2,30,300,,50,300,1,1006,,,,,,,,,,30天每天领取50玉珏,0.05,,,,,
,26007,周卡,cn.gamejelly.gong.appstore_zk,29,2,8,1,10,100,,60,100,1,1007,,,,,,,,,,7天每天领取60玉珏,0.05,,,,,
,26008,10玉玦,cn.suzhou.guodong_10yj,29,1,9,0,1,10,1,,10,1,10,22015,,,,,,,,,,,,,,,
,26009,32400玉玦,cn.suzhou.guodong_32400yj,29,1,10,-1,3240,32400,10325,,0,1,1000,22015,22052,,,,,200,,,,,,,,,
,26010,36000玉玦,cn.suzhou.guodong_36000yj,29,1,11,-2,3600,36000,10800,,0,1,1000,22015,22052,,,,,12,,,,,,,,,
,27000,60玉玦,cn.youxi.guodong_60yj,30,1,1,3,6,60,6,,60,1,1000,22015,,,,,,,,,,,,,,,
,27001,300玉玦,cn.youxi.guodong_300yj,30,1,2,4,30,300,30,,300,1,1001,22015,22052,,,,,,,,,,,,,,
,27002,980玉玦,cn.youxi.guodong_980yj,30,1,3,5,98,980,128,,980,1,1002,22015,22052,,,,,,,,,,,,,,
,27003,1980玉玦,cn.youxi.guodong_1980yj,30,1,4,6,198,1980,288,,1980,1,1003,22015,22052,,,,,,,,,,,,,,
,27004,3280玉玦,cn.youxi.guodong_3280yj,30,1,5,7,328,3280,628,,3280,1,1004,22015,22052,,,,,,,,,,,,,,
,27005,6480玉玦,cn.youxi.guodong_6480yj,30,1,6,8,648,6480,1288,,6480,1,1005,22015,22052,,,,,,,,,,,,,,
,27006,月卡,cn.gamejelly.gong.appstore_yk,30,3,7,2,30,300,,50,300,1,1006,,,,,,,,,,30天每天领取50玉珏,0.05,,,,,
,27007,周卡,cn.gamejelly.gong.appstore_zk,30,2,8,1,10,100,,60,100,1,1007,,,,,,,,,,7天每天领取60玉珏,0.05,,,,,
,27008,10玉玦,cn.youxi.guodong_10yj,30,1,9,0,1,10,1,,10,1,10,22015,,,,,,,,,,,,,,,
,27009,32400玉玦,cn.youxi.guodong_32400yj,30,1,10,-1,3240,32400,10325,,0,1,1000,22015,22052,,,,,200,,,,,,,,,
,27010,36000玉玦,cn.youxi.guodong_36000yj,30,1,11,-2,3600,36000,10800,,0,1,1000,22015,22052,,,,,12,,,,,,,,,
,28000,60玉玦,cn.guodong.gong19_60yj,31,1,1,3,6,60,6,,60,1,1000,22015,,,,,,,,,,,,,,,
,28001,300玉玦,cn.guodong.gong19_300yj,31,1,2,4,30,300,30,,300,1,1001,22015,22052,,,,,,,,,,,,,,
,28002,980玉玦,cn.guodong.gong19_980yj,31,1,3,5,98,980,128,,980,1,1002,22015,22052,,,,,,,,,,,,,,
,28003,1980玉玦,cn.guodong.gong19_1980yj,31,1,4,6,198,1980,288,,1980,1,1003,22015,22052,,,,,,,,,,,,,,
,28004,3280玉玦,cn.guodong.gong19_3280yj,31,1,5,7,328,3280,628,,3280,1,1004,22015,22052,,,,,,,,,,,,,,
,28005,6480玉玦,cn.guodong.gong19_6480yj,31,1,6,8,648,6480,1288,,6480,1,1005,22015,22052,,,,,,,,,,,,,,
,28006,月卡,cn.gamejelly.gong.appstore_yk,31,3,7,2,30,300,,50,300,1,1006,,,,,,,,,,30天每天领取50玉珏,0.05,,,,,
,28007,周卡,cn.gamejelly.gong.appstore_zk,31,2,8,1,10,100,,60,100,1,1007,,,,,,,,,,7天每天领取60玉珏,0.05,,,,,
,28008,10玉玦,cn.guodong.gong19_10yj,31,1,9,0,1,10,1,,10,1,10,22015,,,,,,,,,,,,,,,
,28009,32400玉玦,cn.guodong.gong19_32400yj,31,1,10,-1,3240,32400,10325,,0,1,1000,22015,22052,,,,,200,,,,,,,,,
,28010,36000玉玦,cn.guodong.gong.gong19_36000yj,31,1,11,-2,3600,36000,10800,,0,1,1000,22015,22052,,,,,12,,,,,,,,,
,29000,60玉玦,cn.guodong.gong20_60yj,32,1,1,3,6,60,6,,60,1,1000,22015,,,,,,,,,,,,,,,
,29001,300玉玦,cn.guodong.gong20_300yj,32,1,2,4,30,300,30,,300,1,1001,22015,22052,,,,,,,,,,,,,,
,29002,980玉玦,cn.guodong.gong20_980yj,32,1,3,5,98,980,128,,980,1,1002,22015,22052,,,,,,,,,,,,,,
,29003,1980玉玦,cn.guodong.gong20_1980yj,32,1,4,6,198,1980,288,,1980,1,1003,22015,22052,,,,,,,,,,,,,,
,29004,3280玉玦,cn.guodong.gong20_3280yj,32,1,5,7,328,3280,628,,3280,1,1004,22015,22052,,,,,,,,,,,,,,
,29005,6480玉玦,cn.guodong.gong20_6480yj,32,1,6,8,648,6480,1288,,6480,1,1005,22015,22052,,,,,,,,,,,,,,
,29006,月卡,cn.gamejelly.gong.appstore_yk,32,3,7,2,30,300,,50,300,1,1006,,,,,,,,,,30天每天领取50玉珏,0.05,,,,,
,29007,周卡,cn.gamejelly.gong.appstore_zk,32,2,8,1,10,100,,60,100,1,1007,,,,,,,,,,7天每天领取60玉珏,0.05,,,,,
,29008,10玉玦,cn.guodong.gong20_10yj,32,1,9,0,1,10,1,,10,1,10,22015,,,,,,,,,,,,,,,
,29009,32400玉玦,cn.guodong.gong20_32400yj,32,1,10,-1,3240,32400,10325,,0,1,1000,22015,22052,,,,,200,,,,,,,,,
,29010,36000玉玦,cn.guodong.gong.gong20_36000yj,32,1,11,-2,3600,36000,10800,,0,1,1000,22015,22052,,,,,12,,,,,,,,,
,30000,60玉玦,cn.guodong.gong21_60yj,33,1,1,3,6,60,6,,60,1,1000,22015,,,,,,,,,,,,,,,
,30001,300玉玦,cn.guodong.gong21_300yj,33,1,2,4,30,300,30,,300,1,1001,22015,22052,,,,,,,,,,,,,,
,30002,980玉玦,cn.guodong.gong21_980yj,33,1,3,5,98,980,128,,980,1,1002,22015,22052,,,,,,,,,,,,,,
,30003,1980玉玦,cn.guodong.gong21_1980yj,33,1,4,6,198,1980,288,,1980,1,1003,22015,22052,,,,,,,,,,,,,,
,30004,3280玉玦,cn.guodong.gong21_3280yj,33,1,5,7,328,3280,628,,3280,1,1004,22015,22052,,,,,,,,,,,,,,
,30005,6480玉玦,cn.guodong.gong21_6480yj,33,1,6,8,648,6480,1288,,6480,1,1005,22015,22052,,,,,,,,,,,,,,
,30006,月卡,cn.gamejelly.gong.appstore_yk,33,3,7,2,30,300,,50,300,1,1006,,,,,,,,,,30天每天领取50玉珏,0.05,,,,,
,30007,周卡,cn.gamejelly.gong.appstore_zk,33,2,8,1,10,100,,60,100,1,1007,,,,,,,,,,7天每天领取60玉珏,0.05,,,,,
,30008,10玉玦,cn.guodong.gong21_10yj,33,1,9,0,1,10,1,,10,1,10,22015,,,,,,,,,,,,,,,
,30009,32400玉玦,cn.guodong.gong21_32400yj,33,1,10,-1,3240,32400,10325,,0,1,1000,22015,22052,,,,,200,,,,,,,,,
,30010,36000玉玦,cn.guodong.gong.gong21_36000yj,33,1,11,-2,3600,36000,10800,,0,1,1000,22015,22052,,,,,12,,,,,,,,,
,31000,60玉玦,cn.sz.wonderful_60yj,34,1,1,1,6,60,6,,60,1,1000,22015,,,,,,,,,,,,,,,
,31001,300玉玦,cn.sz.wonderful_300yj,34,1,2,2,30,300,30,,300,1,1001,22015,22052,,,,,,,,,,,,,,
,31002,980玉玦,cn.sz.wonderful_980yj,34,1,3,3,98,980,128,,980,1,1002,22015,22052,,,,,,,,,,,,,,
,31003,1980玉玦,cn.sz.wonderful_1980yj,34,1,4,4,198,1980,288,,1980,1,1003,22015,22052,,,,,,,,,,,,,,
,31004,3280玉玦,cn.sz.wonderful_3280yj,34,1,5,5,328,3280,628,,3280,1,1004,22015,22052,,,,,,,,,,,,,,
,31005,6480玉玦,cn.sz.wonderful_6480yj,34,1,6,6,648,6480,1288,,6480,1,1005,22015,22052,,,,,,,,,,,,,,
,31008,10玉玦,cn.sz.wonderful_10yj,34,1,9,0,1,10,1,,10,1,10,22015,,,,,,,,,,,,,,,
,32000,60玉玦,cn.guodong.gong23_60yj,35,1,1,3,6,60,6,,60,1,1000,22015,,,,,,,,,,,,,,,
,32001,300玉玦,cn.guodong.gong23_300yj,35,1,2,4,30,300,30,,300,1,1001,22015,22052,,,,,,,,,,,,,,
,32002,980玉玦,cn.guodong.gong23_980yj,35,1,3,5,98,980,128,,980,1,1002,22015,22052,,,,,,,,,,,,,,
,32003,1980玉玦,cn.guodong.gong23_1980yj,35,1,4,6,198,1980,288,,1980,1,1003,22015,22052,,,,,,,,,,,,,,
,32004,3280玉玦,cn.guodong.gong23_3280yj,35,1,5,7,328,3280,628,,3280,1,1004,22015,22052,,,,,,,,,,,,,,
,32005,6480玉玦,cn.guodong.gong23_6480yj,35,1,6,8,648,6480,1288,,6480,1,1005,22015,22052,,,,,,,,,,,,,,
,32006,月卡,cn.gamejelly.gong.appstore_yk,35,3,7,2,30,300,,50,300,1,1006,,,,,,,,,,30天每天领取50玉珏,0.05,,,,,
,32007,周卡,cn.gamejelly.gong.appstore_zk,35,2,8,1,10,100,,60,100,1,1007,,,,,,,,,,7天每天领取60玉珏,0.05,,,,,
,32008,10玉玦,cn.guodong.gong23_10yj,35,1,9,0,1,10,1,,10,1,10,22015,,,,,,,,,,,,,,,
,32009,32400玉玦,cn.guodong.gong23_32400yj,35,1,10,-1,3240,32400,10325,,0,1,1000,22015,22052,,,,,200,,,,,,,,,
,32010,36000玉玦,cn.guodong.gong.gong23_36000yj,35,1,11,-2,3600,36000,10800,,0,1,1000,22015,22052,,,,,12,,,,,,,,,
,33000,60玉玦,cn.guodong.gong24_60yj,36,1,1,3,6,60,6,,60,1,1000,22015,,,,,,,,,,,,,,,
,33001,300玉玦,cn.guodong.gong24_300yj,36,1,2,4,30,300,30,,300,1,1001,22015,22052,,,,,,,,,,,,,,
,33002,980玉玦,cn.guodong.gong24_980yj,36,1,3,5,98,980,128,,980,1,1002,22015,22052,,,,,,,,,,,,,,
,33003,1980玉玦,cn.guodong.gong24_1980yj,36,1,4,6,198,1980,288,,1980,1,1003,22015,22052,,,,,,,,,,,,,,
,33004,3280玉玦,cn.guodong.gong24_3280yj,36,1,5,7,328,3280,628,,3280,1,1004,22015,22052,,,,,,,,,,,,,,
,33005,6480玉玦,cn.guodong.gong24_6480yj,36,1,6,8,648,6480,1288,,6480,1,1005,22015,22052,,,,,,,,,,,,,,
,33006,月卡,cn.gamejelly.gong.appstore_yk,36,3,7,2,30,300,,50,300,1,1006,,,,,,,,,,30天每天领取50玉珏,0.05,,,,,
,33007,周卡,cn.gamejelly.gong.appstore_zk,36,2,8,1,10,100,,60,100,1,1007,,,,,,,,,,7天每天领取60玉珏,0.05,,,,,
,33008,10玉玦,cn.guodong.gong24_10yj,36,1,9,0,1,10,1,,10,1,10,22015,,,,,,,,,,,,,,,
,33009,32400玉玦,cn.guodong.gong24_32400yj,36,1,10,-1,3240,32400,10325,,0,1,1000,22015,22052,,,,,200,,,,,,,,,
,33010,36000玉玦,cn.guodong.gong.gong24_36000yj,36,1,11,-2,3600,36000,10800,,0,1,1000,22015,22052,,,,,12,,,,,,,,,
,34000,60玉玦,cn.guodong.gong25_60yj,37,1,1,3,6,60,6,,60,1,1000,22015,,,,,,,,,,,,,,,
,34001,300玉玦,cn.guodong.gong25_300yj,37,1,2,4,30,300,30,,300,1,1001,22015,22052,,,,,,,,,,,,,,
,34002,980玉玦,cn.guodong.gong25_980yj,37,1,3,5,98,980,128,,980,1,1002,22015,22052,,,,,,,,,,,,,,
,34003,1980玉玦,cn.guodong.gong25_1980yj,37,1,4,6,198,1980,288,,1980,1,1003,22015,22052,,,,,,,,,,,,,,
,34004,3280玉玦,cn.guodong.gong25_3280yj,37,1,5,7,328,3280,628,,3280,1,1004,22015,22052,,,,,,,,,,,,,,
,34005,6480玉玦,cn.guodong.gong25_6480yj,37,1,6,8,648,6480,1288,,6480,1,1005,22015,22052,,,,,,,,,,,,,,
,34006,月卡,cn.gamejelly.gong.appstore_yk,37,3,7,2,30,300,,50,300,1,1006,,,,,,,,,,30天每天领取50玉珏,0.05,,,,,
,34007,周卡,cn.gamejelly.gong.appstore_zk,37,2,8,1,10,100,,60,100,1,1007,,,,,,,,,,7天每天领取60玉珏,0.05,,,,,
,34008,10玉玦,cn.guodong.gong25_10yj,37,1,9,0,1,10,1,,10,1,10,22015,,,,,,,,,,,,,,,
,34009,32400玉玦,cn.guodong.gong25_32500yj,37,1,10,-1,3240,32400,10325,,0,1,1000,22015,22052,,,,,200,,,,,,,,,
,34010,36000玉玦,cn.guodong.gong.gong25_36000yj,37,1,11,-2,3600,36000,10800,,0,1,1000,22015,22052,,,,,12,,,,,,,,,
IOS27,35000,60玉玦,cn.guodong.gong27_60yj,39,1,1,3,6,60,6,,60,1,1000,22015,,,,,,,,,,,,,,,
