交互检查规则,,,,,,,,,
导出规则,,,,,,,,,
分类,,,,,,,,,
表头,id,阵法,阵法书道具,开启阵位,阵法等级,升级需要消耗道具,升级需要道具数量,属性id,增加属性
,1170,31003,31023,"(1,2,3,4,5,6,)",20,"(31026,)","(20280,)","(10048,10048,10048,10048,10048,10048,)","(12240,12240,12240,12240,12240,12240,)"
,1171,31003,31023,"(1,2,3,4,5,6,)",21,"(31026,)","(22330,)","(10048,10048,10048,10048,10048,10048,)","(12852,12852,12852,12852,12852,12852,)"
,1172,31003,31023,"(1,2,3,4,5,6,)",22,"(31026,)","(24480,)","(10048,10048,10048,10048,10048,10048,)","(13464,13464,13464,13464,13464,13464,)"
,1173,31003,31023,"(1,2,3,4,5,6,)",23,"(31026,)","(26730,)","(10048,10048,10048,10048,10048,10048,)","(14076,14076,14076,14076,14076,14076,)"
,1174,31003,31023,"(1,2,3,4,5,6,)",24,"(31026,)","(29080,)","(10048,10048,10048,10048,10048,10048,)","(14688,14688,14688,14688,14688,14688,)"
,1175,31003,31023,"(1,2,3,4,5,6,)",25,"(31026,)","(31550,)","(10048,10048,10048,10048,10048,10048,)","(15300,15300,15300,15300,15300,15300,)"
,1176,31003,31023,"(1,2,3,4,5,6,)",26,"(31026,)","(34100,)","(10048,10048,10048,10048,10048,10048,)","(15912,15912,15912,15912,15912,15912,)"
,1177,31003,31023,"(1,2,3,4,5,6,)",27,"(31026,)","(36750,)","(10048,10048,10048,10048,10048,10048,)","(16524,16524,16524,16524,16524,16524,)"
,1178,31003,31023,"(1,2,3,4,5,6,)",28,"(31026,)","(39500,)","(10048,10048,10048,10048,10048,10048,)","(17136,17136,17136,17136,17136,17136,)"
,1179,31003,31023,"(1,2,3,4,5,6,)",29,"(31026,)","(42350,)","(10048,10048,10048,10048,10048,10048,)","(17748,17748,17748,17748,17748,17748,)"
,1180,31003,31023,"(1,2,3,4,5,6,)",30,"(31026,)","(45320,)","(10048,10048,10048,10048,10048,10048,)","(18360,18360,18360,18360,18360,18360,)"
,1181,31003,31023,"(1,2,3,4,5,6,)",31,"(31026,)","(48370,)","(10048,10048,10048,10048,10048,10048,)","(18972,18972,18972,18972,18972,18972,)"
,1182,31003,31023,"(1,2,3,4,5,6,)",32,"(31026,)","(51520,)","(10048,10048,10048,10048,10048,10048,)","(19584,19584,19584,19584,19584,19584,)"
,1183,31003,31023,"(1,2,3,4,5,6,)",33,"(31026,)","(54770,)","(10048,10048,10048,10048,10048,10048,)","(20196,20196,20196,20196,20196,20196,)"
,1184,31003,31023,"(1,2,3,4,5,6,)",34,"(31026,)","(58120,)","(10048,10048,10048,10048,10048,10048,)","(20808,20808,20808,20808,20808,20808,)"
,1185,31003,31023,"(1,2,3,4,5,6,)",35,"(31026,)","(61590,)","(10048,10048,10048,10048,10048,10048,)","(21420,21420,21420,21420,21420,21420,)"
,1186,31003,31023,"(1,2,3,4,5,6,)",36,"(31026,)","(65140,)","(10048,10048,10048,10048,10048,10048,)","(22032,22032,22032,22032,22032,22032,)"
,1187,31003,31023,"(1,2,3,4,5,6,)",37,"(31026,)","(68790,)","(10048,10048,10048,10048,10048,10048,)","(22644,22644,22644,22644,22644,22644,)"
,1188,31003,31023,"(1,2,3,4,5,6,)",38,"(31026,)","(72540,)","(10048,10048,10048,10048,10048,10048,)","(23256,23256,23256,23256,23256,23256,)"
,1189,31003,31023,"(1,2,3,4,5,6,)",39,"(31026,)","(76390,)","(10048,10048,10048,10048,10048,10048,)","(23868,23868,23868,23868,23868,23868,)"
,1190,31003,31023,"(1,2,3,4,5,6,)",40,"(31026,)","(80360,)","(10048,10048,10048,10048,10048,10048,)","(24480,24480,24480,24480,24480,24480,)"
,1191,31003,31023,"(1,2,3,4,5,6,)",41,"(31026,)","(84410,)","(10048,10048,10048,10048,10048,10048,)","(25092,25092,25092,25092,25092,25092,)"
,1192,31003,31023,"(1,2,3,4,5,6,)",42,"(31026,)","(88560,)","(10048,10048,10048,10048,10048,10048,)","(25704,25704,25704,25704,25704,25704,)"
,1193,31003,31023,"(1,2,3,4,5,6,)",43,"(31026,)","(92810,)","(10048,10048,10048,10048,10048,10048,)","(26316,26316,26316,26316,26316,26316,)"
,1194,31003,31023,"(1,2,3,4,5,6,)",44,"(31026,)","(97160,)","(10048,10048,10048,10048,10048,10048,)","(26928,26928,26928,26928,26928,26928,)"
,1195,31003,31023,"(1,2,3,4,5,6,)",45,"(31026,)","(101630,)","(10048,10048,10048,10048,10048,10048,)","(27540,27540,27540,27540,27540,27540,)"
,1196,31003,31023,"(1,2,3,4,5,6,)",46,"(31026,)","(106180,)","(10048,10048,10048,10048,10048,10048,)","(28152,28152,28152,28152,28152,28152,)"
,1197,31003,31023,"(1,2,3,4,5,6,)",47,"(31026,)","(110830,)","(10048,10048,10048,10048,10048,10048,)","(28764,28764,28764,28764,28764,28764,)"
,1198,31003,31023,"(1,2,3,4,5,6,)",48,"(31026,)","(115580,)","(10048,10048,10048,10048,10048,10048,)","(29376,29376,29376,29376,29376,29376,)"
,1199,31003,31023,"(1,2,3,4,5,6,)",49,"(31026,)","(120430,)","(10048,10048,10048,10048,10048,10048,)","(29988,29988,29988,29988,29988,29988,)"
,1200,31003,31023,"(1,2,3,4,5,6,)",50,"(31026,)","(125400,)","(10048,10048,10048,10048,10048,10048,)","(30600,30600,30600,30600,30600,30600,)"
