交互检查规则,,,,,,,,,,,,,,,
导出规则,,,,,,,,,,,,,,,
分类,,,,,,,,,,,,,,,
表头,编号,对话内容,对话人物,对话人物名称,正在说话任务,下个对话,人物站位,位置偏移值,配音ID,屏幕坐标,介绍,场景,特殊,,断章对话
,199,可是我爹是一个绝不会无的放矢的人，我豪不怀疑这封信是我爹特意留给我看的。,"(1000,)",旁白,0,"(200,)","(2,)","(-309,)",,2,,10,,,
,200,他也知道我关于推理探案这方面的智商着实不高……\n我爹万万不会在生死关头还要留点题顺道考考我——\n人不能作死，毕竟天在看。,"(1000,)",旁白,0,"(201,)","(2,)","(-309,)",,2,,10,,,
,201,看来，枫山行宫是免不了要去了。,"(1000,)",旁白,0,"(202,)","(2,)","(-309,)",,2,,10,,,
,202,无碍，你去找王伯，让他点些人，连夜前往枫山。,"(1000,)",旁白,0,"(203,)","(2,)","(-309,)",,2,,1001,,,
,203,突然之间，有一个小丫鬟急匆匆跑了过来，对青湖耳语了几句。,"(40021,)",旁白,0,"(204,)","(2,)","(-309,)",,2,,1001,,,
,204,……小姐！！！不好了！那个春雨死了！都死了！,"(40021,)",青湖,40021,"(205,)","(2,)","(-309,)",,2,,1001,,,
,205,谁死了！都死了？说清楚！,"(40021,)",玩家,-1,"(206,)","(2,)","(-309,)",,2,,1001,,,
,206,小姐你不是让我将夫人的亲信全部关起来吗……\n才抓去不到一刻钟，柴房里的人都死了！,"(40021,)",青湖,40021,"(207,)","(2,)","(-309,)",,2,,1001,,,
,207,…………\n手倒是伸得长……愚不可及！,"(40021,)",玩家,-1,"(208,)","(2,)","(-309,)",,2,,1001,,,
,208,青湖！你去吩咐王总管，就说是我说的，将夫人禁足。\n凡是夫人院里的丫头小厮，一个都不准出来，剩下的，等我回来。\n若是夫人不依，不必理她。,"(40021,)",玩家,-1,"(209,)","(2,)","(-309,)",,2,,1001,,,
,209,还有，找两个暗卫去守着。\n看着我母亲，省得我那母亲都叫人给杀了。,"(40021,)",玩家,-1,"(210,)","(2,)","(-309,)",,2,,1001,,,
,210,暗卫？哎，是承影大人吗？\n承影大人不是已经出去了吗？,"(40021,)",青湖,40021,"(211,)","(2,)","(-309,)",,2,,1001,,,
,211,……我也是气糊涂了。\n无妨，他们应该已经去了。,"(40021,)",玩家,-1,"(212,)","(2,)","(-309,)",,2,,1001,,,
,212,是，小姐，我这就去。,"(40021,)",青湖,40021,,"(2,)","(-309,)",,2,,1001,,,
2-1-(17)-王伯,485,小姐，这枫山路崎难行，还请慢行。,"(40028,)",王管家,40028,"(486,)","(2,)","(-356,)",,1,,1002,,,
,486,雁北归？北归而燕来……这倒是个不错的名字。,"(40001,)",神秘男子,40001,"(487,)","(2,)","(-356,)",,2,,1002,,,
,487,咳咳……多谢九叔夸奖。,"(40001,40024,)",雁北归,40024,"(488,)","(1,3,)","(-356,-356,)",,2,,1002,,,
,488,你弟弟在寻你，本座便不多事了。,"(40001,40024,)",神秘男子,40001,"(489,)","(1,3,)","(-356,-356,)",,2,,1002,,,
,489,燕来……却之不恭。,"(40001,40024,)",雁北归,40024,,"(1,3,)","(-356,-356,)",,2,,1002,,,
2-2-（18）枫山守卫,214,此处禁行，违者杀。,"(5019,)",枫山守卫,5019,,"(2,)","(-356,)",,2,,1002,,刺客喊话,
2-3-（19）游侠,215,美人儿，这枫山上可是危险得很，听哥哥的话，回家去吧。,"(5029,)",游侠儿,5029,,"(2,)","(-356,)",,2,,1002,,刺客喊话,
2-4-（20）侍卫,216,这枫山上怎生这等不太平？,"(40033,)",玩家,-1,"(217,)","(2,)","(-356,)",,2,,1002,,,
,217,想是有大事发生，我等还需小心行事。,"(40033,)",侍卫,40033,"(218,)","(2,)","(-356,)",,2,,1002,,,
,218,大小姐，前面有一所破庙。我们是否在此休整一番？,"(40033,)",侍卫,40033,"(219,)","(2,)","(-356,)",,2,,1002,,,
,219,也好。,"(40033,)",玩家,-1,"(220,)","(2,)","(-356,)",,2,,1002,,,
,220,我突然摆了摆手。,"(40033,)",旁白,0,"(221,)","(2,)","(-356,)",,2,,1002,,,
,221,噤声！,"(40033,)",玩家,-1,,"(2,)","(-356,)",,2,,1002,,,
2-5-（21）侍卫,222,前面缓缓而来一队仪仗。所有人都穿着一袭白衣，内里是猩红色的内衬。他们的腰间都悬着一把青光闪闪的剑。,,旁白,0,"(223,)",,,,2,,10,,天空飘下雪花,
,223,有人捧灯，有人持拂尘。具是低眉敛目，步伐轻缓。,,旁白,0,"(224,)",,,,2,,10,,,
,224,在中间的位置，有一架马车。四角挂着八角金铃，随着他们的步伐叮咚作响。,,旁白,0,"(225,)",,,,2,,10,,缓缓出现一个马车剪影,
,225,我打了个手势，示意所有人下马。不要出声，将路让出。,,旁白,0,"(226,)",,,,2,,10,,,
,226,白衣青剑，这是国师才有的仪仗。,,旁白,0,"(227,)",,,,2,,10,,,
,227,随着他们的走近，所有人都深深的低下了头。,,旁白,0,"(228,)",,,,2,,10,,,
,228,我朝国师长雍君，出生皇族，生而有异，天生白发。\n听闻其能翻手为云，覆手为雨，有通天彻地之能。,,旁白,0,"(229,)",,,,2,,10,,,
,229,铃铛清脆的响声有规律的响动着，我正等着那铃声远去。\n却没想到那铃声戛然而止，我忍不住悄悄的抬起了头……,,旁白,0,"(230,)",,,,2,,10,,,
,230,——！,,玩家,-1,"(231,)",,,,2,,10,,在此之前，闪过长雍君眼睛的截图,
,231,华丽的马车中坐着一个白发的男子，正神情莫测的看着我。,"(40001,)",旁白,0,"(232,)","(2,)","(-356,)",,2,,1002,,,
,232,你上前来。,"(40001,)",长雍君,40001,"(233,)","(2,)","(-356,)",,2,10001,1002,,,
,233,……是。,"(40001,)",玩家,-1,"(234,)","(2,)","(-356,)",,2,,1002,,,
,234,民女见过殿下。,"(40001,)",玩家,-1,"(235,)","(2,)","(-356,)",,2,,1002,,,
,235,……,"(40001,)",长雍君,40001,"(236,)","(2,)","(-356,)",,2,,1002,,,
,236,你是谁？为何来枫山？,"(40001,)",长雍君,40001,"(237,)","(2,)","(-356,)",,2,,1002,,,
,237,民女乃是户部尚书南鹤之女。因收到枫山之主请柬而前行宫一见。,"(40001,)",玩家,-1,"(238,)","(2,)","(-356,)",,2,,1002,,,
,238,户部尚书南鹤？你父大难临头，你还有闲心出来私会外男？,"(40001,)",长雍君,40001,"(239,)","(2,)","(-356,)",,2,,1002,,,
,239,正是我父命悬一线，民女才不得不出来寻求一线生机。,"(40001,)",玩家,-1,"(240,)","(2,)","(-356,)",,2,,1002,,,
,240,……一线生机？,"(40001,)",长雍君,40001,"(241,)","(2,)","(-356,)",,2,,1002,,,
,241,他看着我，良久才叹了口气。,"(40001,)",旁白,0,"(242,)","(2,)","(-356,)",,2,,1002,,,
,242,也罢……是他命不该绝。,"(40001,)",长雍君,40001,"(243,)","(2,)","(-356,)",,2,,1002,,,
,243,……什么？,"(40001,)",玩家,-1,"(244,)","(2,)","(-356,)",,2,,1002,,,
,244,我有些迷惑，不知国师是什么意思。,"(40001,)",旁白,0,"(245,)","(2,)","(-356,)",,2,,1002,,,
,245,我正等着国师为我解惑，没想到国师就这样侧过头去，不再理我了。,"(40001,)",旁白,0,"(246,)","(2,)","(-356,)",,2,,1002,,,
,246,清脆的铃铛声响起，马车动了起来，慢慢的消失在我的视野中。,,旁白,0,,"(2,)","(-356,)",,2,,1002,,铃声响起，马车消失,
2-6-（22）侍卫,247,大小姐，国师这是……？,"(40033,)",侍卫,40033,"(248,)","(2,)","(-356,)",,2,,1002,,,
,248,勿要揣测上意，我们走。,"(40033,)",玩家,-1,"(249,)","(2,)","(-356,)",,2,,1002,,,
,249,是。,"(40033,)",侍卫,40033,"(250,)","(2,)","(-356,)",,2,,1002,,,
,250,大小姐，天色越来越晚了，我们到前面破庙休整一会儿再上山吧。,"(40033,)",侍卫,40033,"(251,)","(2,)","(-356,)",,2,,1002,,,
,251,大小姐！庙里有个人！看样子是昏迷过去了，我们……,"(40033,)",侍卫,40033,"(252,)","(2,)","(-356,)",,2,,1002,,,
,252,——！,"(40033,)",玩家,-1,"(253,)","(2,)","(-356,)",,2,,1002,,,
,253,【也罢……是他命不该绝。】,"(40001,)",长雍君,40001,"(254,)","(2,)","(-356,)",,2,,10,,,
,254,我突然想起了国师刚刚与我说的那句话……,"(40033,)",旁白,0,"(255,)","(2,)","(-356,)",,2,,1002,,,
,255,——去救人！,"(40033,)",玩家,-1,,"(2,)","(-356,)",,2,,1002,,,
2-7-（23）侍卫B,256,大小姐，那人醒了。,"(40033,)",侍卫,40033,"(257,)","(2,)","(-356,)",,2,,1002,,,
,257,恩？是么，跟我去看看。,"(40033,)",玩家,-1,"(258,)","(2,)","(-356,)",,2,,1002,,,
,258,是。,"(40033,)",侍卫,40033,"(259,)","(2,)","(-356,)",,2,,1002,,,
,259,……是你救了我？,"(40024,)",雁北归,40024,"(260,)","(2,)","(-356,)",,3,20001,1002,,,
,260,确实是我……但是观公子身上包扎整齐，怕是公子今日也不是第一次说这话了。,"(40024,)",玩家,-1,"(261,)","(2,)","(-356,)",,3,,1002,,,
,261,姑娘聪慧过人，正是如此。,"(40024,)",雁北归,40024,"(262,)","(2,)","(-356,)",,3,,1002,,,
,262,多谢姑娘。姑娘今日援手，他日必有相报。,"(40024,)",雁北归,40024,"(263,)","(2,)","(-356,)",,3,,1002,,,
,263,听着跟三流才子佳人香艳画本里头的发展一模一样。,"(40024,)",玩家,-1,"(264,)","(2,)","(-356,)",,3,,1002,,,
,264,呵……姑娘玩笑了。,"(40024,)",雁北归,40024,"(265,)","(2,)","(-356,)",,3,,1002,,,
,265,行吧，我随行并无郎中，不过是为您止了血而已。,"(40024,)",玩家,-1,"(266,)","(2,)","(-356,)",,3,,1002,,,
,266,一会儿我派人将您送到医馆，就此别过。,"(40024,)",玩家,-1,"(267,)","(2,)","(-356,)",,3,,1002,,,
,267,说罢，我状似冷淡的就要转身离去。,"(40024,)",旁白,0,"(268,)","(2,)","(-356,)",,3,,1002,,,
,268,——赶紧叫住我啊！,"(1000,)",玩家,1000,"(269,)","(2,)","(-356,)",,3,,10,"(10002,)",,
,269,…………,"(1000,)",玩家,1000,"(270,)","(2,)","(-356,)",,3,,10,"(10002,)",,
,270,我真就这么走了？\n怎么还没叫住我！急死我了！,"(1000,)",玩家,1000,"(271,)","(2,)","(-356,)",,3,,10,"(10002,)",,
,271,……慢！,"(40024,)",雁北归,40024,,"(2,)","(-356,)",,3,,1002,,,
2-8-（24）雁北归,272,公子还有何事？,"(40024,)",玩家,-1,"(273,)","(2,)","(-356,)",,3,,1002,,,
,273,某不才，想问姑娘一句——\n枫山如此情景，姑娘是如何上来的？,"(40024,)",雁北归,40024,"(274,)","(2,)","(-356,)",,3,,1002,,,
,274,……\n打上来的。,"(40024,)",玩家,-1,"(275,)","(2,)","(-356,)",,3,,1002,,,
,275,姑娘玩笑了。,"(40024,)",雁北归,40024,"(276,)","(2,)","(-356,)",,3,,1002,,,
,276,不曾玩笑……\n我持枫山之主名帖，想要见他一面……\n无奈这山路崎岖难行，只好一路打上来了。,"(40024,)",玩家,-1,"(277,)","(2,)","(-356,)",,3,,1002,,,
,277,我扬了扬手中的名帖，他看了一眼，露出了一丝古怪的笑意。,"(40024,)",旁白,0,"(278,)","(2,)","(-356,)",,3,,1002,,,
,278,原来如此。姑娘回去吧，令尊定当无碍。\n枫山之主早些时间就下山去了，你此刻去怕也是找不到他的。,"(40024,)",雁北归,40024,"(279,)","(2,)","(-356,)",,3,,1002,,,
,279,我听闻此言，不禁揉了揉眉心。,"(40024,)",旁白,0,"(280,)","(2,)","(-356,)",,3,,1002,,,
,280,枫山之主离开了枫山，去了哪？\n去医馆的路上吗？,"(40024,)",玩家,-1,"(281,)","(2,)","(-356,)",,3,,1002,,,
,281,咳咳……\n自然不是。,"(40024,)",雁北归,40024,"(282,)","(2,)","(-356,)",,3,,1002,,,
,282,如此也罢，不管如何这行宫我必须去一趟……\n来人，将这位公子送往医馆。,"(40024,)",玩家,-1,"(283,)","(2,)","(-356,)",,3,,1002,,,
,283,是！,"(40024,)",侍卫,40033,"(284,)","(2,)","(-356,)",,3,,1002,,,
,284,男子身受重伤，精神不是很好，方用锦被裹着他他就睡过去了。\n我令人将他送去了医馆。,,旁白,0,,,,,3,,1002,,,
2-9-（25）承影,285,小姐。,"(40008,)",承影,40008,"(286,)","(2,)","(-356,)",,3,,1002,,,
,286,承影？你回来了？那小子如何了？,"(40008,)",玩家,-1,"(287,)","(2,)","(-356,)",,3,,1002,,,
,287,已然平安下山去了。\n大小姐，我们不必再上山了。,"(40008,)",承影,40008,"(288,)","(2,)","(-356,)",,3,,1002,,,
,288,哦？,"(40008,)",玩家,-1,"(289,)","(2,)","(-356,)",,3,,1002,,,
,289,属下探查了一番，枫山之主怕已离开枫山。,"(40008,)",承影,40008,"(290,)","(2,)","(-356,)",,3,,1002,,,
,290,……也罢，回吧。,"(40008,)",玩家,-1,"(291,)","(2,)","(-356,)",,3,,1002,,,
,291,我突然想起了那人的面容，忍不住微微一笑。,"(40008,)",旁白,0,"(292,)","(2,)","(-356,)",,3,,1002,,,
,292,我爹应该是没事了……,"(40008,)",玩家,-1,"(293,)","(2,)","(-356,)",,3,,1002,,,
,293,为何？,"(40008,)",承影,40008,"(294,)","(2,)","(-356,)",,3,,1002,,,
,294,枫山之主都叫我们送去医馆去了，难道不该报救命之恩？,"(40008,)",玩家,-1,"(295,)","(2,)","(-356,)",,3,,1002,,,
,295,……,"(40008,)",承影,40008,,"(2,)","(-356,)",,3,,1002,,,
2-10-（26）紫衣男子,296,你可见了一个如我这般大的男子，有伤。,"(40010,)",玄衣男子,40010,"(297,)","(2,)","(-356,)",,2,20003,1002,,,
,297,见过这位大人，小女子与家中仆从踏雪寻梅至此，并未看见什么陌生男子。,"(40010,)",玩家,-1,"(298,)","(2,)","(-356,)",,2,,1002,,,
,298,大半夜的来枫山踏雪寻梅？,"(40010,)",玄衣男子,40010,"(299,)","(2,)","(-356,)",,2,,1002,,,
,299,唯兴趣尔。,"(40010,)",玩家,-1,"(300,)","(2,)","(-356,)",,2,,1002,,,
,300,哼，你是哪家的，报上名来！,"(40010,)",玄衣男子,40010,"(301,)","(2,)","(-356,)",,2,,1002,,,
,301,小女子乃是当朝户部尚书南鹤之女。,"(40010,)",玩家,-1,"(302,)","(2,)","(-356,)",,2,,1002,,,
,302,南鹤？自身难保之人！\n你父身陷牢狱，你还有兴致踏雪寻梅？也是妙人。,"(40010,)",玄衣男子,40010,"(303,)","(2,)","(-356,)",,2,,1002,,进入战斗,
,303,走！,"(40010,)",玄衣男子,40010,"(304,)","(2,)","(-356,)",,2,,1002,,,
,304,他身后仆从齐齐应了一声是，几乎是如风一般的从我们面前消失。,,旁白,0,"(305,)",,,,2,,1002,,,
,305,小姐，这是公子尘来。,"(40008,)",承影,40008,"(306,)","(2,)","(-356,)",,3,,1002,,,
,306,公子尘来？,"(40008,)",玩家,-1,"(307,)","(2,)","(-356,)",,3,,1002,,,
,307,帝君除太子外，其余子嗣皆未封王。,"(40008,)",承影,40008,"(308,)","(2,)","(-356,)",,3,,1002,,,
,308,……这一潭浑水……\n不用管他们，我们只管自己下山便是。,"(40008,)",玩家,-1,"(309,)","(2,)","(-356,)",,3,,1002,,,
,309,是。,"(40008,)",承影,40008,,"(2,)","(-356,)",,3,,1002,,,
2-11-（27）-清湖,310,小姐，您回来啦？,"(40021,)",青湖,40021,"(311,)","(2,)","(-309,)",,1,,1001,,,
,311,嗯，家中平安否？,"(40021,)",玩家,-1,"(312,)","(2,)","(-309,)",,1,,1001,,,
,312,一切平安。\n之前春雨姐姐以及其他几位家生子的尸首已经着人检查过了……\n一刀毙命，干净利落，没有什么挣扎的痕迹。,"(40021,)",青湖,40021,"(313,)","(2,)","(-309,)",,1,,1001,,,
,313,那就是熟人作案了？\n承影呢，可在？,"(40021,)",玩家,-1,"(314,)","(2,)","(-309,)",,1,,1001,,,
,314,在。,"(40008,40021,)",承影,40008,"(315,)","(1,3,)","(-356,-309,)",,1,,1001,,,
,315,如让你在几息之间杀六人——\n其中有高大成丁，有壮年仆妇，不致反抗惊叫，无声无息，你可做得到？,"(40008,40021,)",玩家,-1,"(316,)","(1,3,)","(-356,-309,)",,1,,1001,,,
,316,可。,"(40008,40021,)",承影,40008,"(317,)","(1,3,)","(-356,-309,)",,1,,1001,,,
,317,所以人家派这等高手来我家就为了杀几个仆妇家丁？\n有这功夫，直接将我南府血脉全一刀抹了不是正好？,"(1000,)",玩家,-1,"(318,)","(2,)","(-309,)",,1,,10,,,
,318,如果是政敌，这手段也未免太轻了。,"(1000,)",玩家,40008,"(319,)","(2,)","(-309,)",,1,,10,,,
,319,或是与我南府利益相关？\n……等等，莫不是那蠢妇下的手？,"(1000,)",玩家,-1,"(320,)","(2,)","(-309,)",,1,,10,,,
,320,小姐，您将春雨等人关押起来后，夫人院内传了信给厨房说要一碗燕窝莲子粥。,"(40008,40021,)",承影,40008,"(321,)","(1,3,)","(-356,-309,)",,1,,1001,,,
,321,青湖？,"(40008,40021,)",玩家,-1,"(322,)","(1,3,)","(-356,-309,)",,1,,1001,,,
,322,……确有其事，应是夫人在病中，王总管也点头了。\n等我知道时，已经通传下去了。,"(40008,40021,)",青湖,40021,"(323,)","(1,3,)","(-356,-309,)",,1,,1001,,,
,323,承影，盯着太太院子里的影卫可有异动？,"(40008,40021,)",玩家,-1,"(324,)","(1,3,)","(-356,-309,)",,1,,1001,,,
,324,并无，一切正常。,"(40008,40021,)",承影,40008,"(325,)","(1,3,)","(-356,-309,)",,1,,1001,,,
,325,严防死守一些，若是太太有什么不好，未免多生事端。,"(40008,40021,)",玩家,-1,"(326,)","(1,3,)","(-356,-309,)",,1,,1001,,,
,326,是。,"(40008,40021,)",承影,40008,"(327,)","(1,3,)","(-356,-309,)",,1,,1001,,,
,327,之前送去医馆的那个男子如何了？,"(40008,40021,)",玩家,-1,"(328,)","(1,3,)","(-356,-309,)",,1,,1001,,,
,328,属下方才派人去查探，他已经被人接走了。,"(40008,40021,)",承影,40008,"(329,)","(1,3,)","(-356,-309,)",,1,,1001,,,
,329,我父亲在牢中可好？\n可有什么不适？,"(40008,40021,)",玩家,-1,"(330,)","(1,3,)","(-356,-309,)",,1,,1001,,,
,330,老爷在狱中一切安好。,"(40008,40021,)",承影,40008,"(331,)","(1,3,)","(-356,-309,)",,1,,1001,,,
,331,您回来之前，王管家已经去打点过了。,"(40008,40021,)",青湖,40021,"(332,)","(1,3,)","(-356,-309,)",,1,,1001,,,
,332,让王管家去再打点一番，尤其是那些狱卒。\n阎王好见，小鬼难缠。,"(40008,40021,)",玩家,-1,"(333,)","(1,3,)","(-356,-309,)",,1,,1001,,,
,333,是，奴婢这就去。,"(40008,40021,)",青湖,40021,"(334,)","(1,3,)","(-356,-309,)",,1,,1001,,,
,334,小姐，您有几分把握？,"(40008,)",承影,40008,"(335,)","(2,)","(-356,)",,1,,1001,,,
,335,我南家七百年世家，虽凋零至此，却还有三分底蕴。\n我有五分把握救我爹出困……足够了。,"(40008,)",玩家,-1,"(336,)","(2,)","(-356,)",,1,,1001,,,
,336,有大小姐在，老爷定然安然无恙。 ,"(40008,)",承影,40008,"(337,)","(2,)","(-356,)",,1,,1001,,,
,337,你先退下吧，先准备起来……\n若是没在这五分中，怕是要你们出力。,"(40008,)",玩家,-1,"(338,)","(2,)","(-356,)",,1,,1001,,,
,338,是，谨遵主令。,"(40008,)",承影,40008,,"(2,)","(-356,)",,1,,1001,,,
2-12-（28）-清湖,339,小姐！小姐！——,"(40021,)",青湖,40021,"(340,)","(2,)","(-356,)",,2,,1001,,,
,340,怎么又这么匆匆忙忙的？\n何事如此慌张？,"(40021,)",玩家,-1,"(341,)","(2,)","(-309,)",,2,,1001,,,
,341,我心下一动，却觉得应该不是什么坏事。,"(40021,)",旁白,0,"(342,)","(2,)","(-309,)",,2,,1001,,,
,342,小姐，前面有人送了信来，指名是给小姐的。,"(40021,)",青湖,40021,"(343,)","(2,)","(-309,)",,2,,1001,,,
,343,哦？我看看。,"(40021,)",玩家,-1,"(344,)","(2,)","(-309,)",,2,,1001,,,
,344,……明朝望乡处，应见陇头梅……\n……请来去寺一游……,"(40021,)",玩家,-1,"(345,)","(2,)","(-309,)",,2,,1001,,,
,345,我从昨夜开始惴惴不安的心就此放下。,"(40021,)",旁白,0,"(346,)","(2,)","(-309,)",,2,,1001,,,
,346,青湖，去前院让王管家套一辆车，一会儿我要去来去寺一趟。,"(40021,)",玩家,-1,"(347,)","(2,)","(-309,)",,2,,1001,,,
,347,哎哎哎？小姐？可是这都快过午了……,"(40021,)",青湖,40021,"(348,)","(2,)","(-309,)",,2,,1001,,,
,348,就说为我爹祈福好了。,"(40021,)",玩家,-1,"(349,)","(2,)","(-309,)",,2,,1001,,,
,349,哎？这样没问题吗？奴婢这就去。,"(40021,)",青湖,40021,,"(2,)","(-309,)",,2,,1001,,,
3-1-（29）-清湖,350,小姐，这来去寺奴婢还是第一次来，没想到是如此清幽静安之所。,"(40021,)",青湖,40021,"(351,)","(2,)","(-309,)",,1,,1003,,,
,351,我往日甚少在家，倒是委屈你了。,"(40021,)",玩家,-1,"(352,)","(2,)","(-309,)",,1,,1003,,,
,352,小姐言重了，奴婢是家生子，哪有什么委屈不委屈的说法？,"(40021,)",青湖,40021,"(353,)","(2,)","(-309,)",,1,,1003,,,
,353,我斜睨了一眼青湖，那小妮子吐了吐舌头，一脸讨好。,"(40021,)",旁白,0,"(354,)","(2,)","(-309,)",,1,,1003,,,
,354,行吧，去买一包糖炒栗子，吃完了再回来。,"(40021,)",玩家,-1,"(355,)","(2,)","(-309,)",,1,,1003,,,
,355,哎？奴婢怎能让小姐一个人！,"(40021,)",青湖,40021,"(356,)","(2,)","(-309,)",,1,,1003,,,
,356,让你去，你就去。,"(40021,)",玩家,-1,"(357,)","(2,)","(-309,)",,1,,1003,,,
,357,小姐……多谢小姐，奴婢这就去！,"(40021,)",青湖,40021,"(358,)","(2,)","(-309,)",,1,,1003,,,
,358,我望着青湖透露出欢快的的背影，突然有人出现在我身边。,,旁白,0,"(359,)",,,,1,,1003,"(10001,)",屏幕摇晃出现角色,
,359,是南府的大小姐吗？主人有请。,"(40029,)",神秘男子,40029,"(360,)","(2,)","(-356,)",,1,,1003,,,
,360,还请这位壮士带路。,"(40029,)",玩家,-1,"(361,)","(2,)","(-356,)",,1,,1003,,,
,361,我微微一笑。,"(40029,)",旁白,0,"(362,)","(2,)","(-356,)",,1,,1003,,,
,362,男子并不知道我为何而开心，面无表情的在前引路。,"(40029,)",旁白,0,,"(2,)","(-356,)",,1,,1003,,,
3-2-（30）-雁北归,363,虽只有一日未见，见姑娘平安在此，我心甚悦。,"(40024,)",雁北归,40024,"(364,)","(2,)","(-356,)",,2,,1003,,,
,364,见过大人，见大人平安现身，小女子亦深感安慰。,"(40024,)",玩家,-1,"(365,)","(2,)","(-356,)",,2,,1003,,,
,365,姑娘请起吧。,"(40024,)",雁北归,40024,"(366,)","(2,)","(-356,)",,2,,1003,,,
,366,他的声音清透而带着一些温润之感，说话之时，带着一些奇妙的音调，令人闻之忘俗。,"(40024,)",旁白,0,"(367,)","(2,)","(-356,)",,2,,1003,,,
,367,多谢大人。,"(40024,)",玩家,-1,"(368,)","(2,)","(-356,)",,2,,1003,,,
,368,我看着面前的男子，穿着一身淡青色的长衫，似乎是有伤的关系，并未束发，从领口还能看到一些绷带的痕迹。,"(40024,)",旁白,0,"(369,)","(2,)","(-356,)",,2,,1003,,,
,369,大人的伤可无碍了？昨日见大人伤得不轻的样子。,"(40024,)",玩家,-1,"(370,)","(2,)","(-356,)",,2,,1003,,,
,370,无碍，小伤罢了。,"(40024,)",雁北归,40024,"(371,)","(2,)","(-356,)",,2,,1003,,,
,371,你昨日可不是什么小伤的样子。我暗暗的想。,"(40024,)",旁白,0,"(372,)","(2,)","(-356,)",,2,,1003,,,
,372,不过总算是平安躲过一劫。,"(40024,)",雁北归,40024,"(373,)","(2,)","(-356,)",,2,,1003,,,
,373,姑娘昨日所求之事，我已吩咐人上奏，令尊明日便应有好消息传来。,"(40024,)",雁北归,40024,"(374,)","(2,)","(-356,)",,2,,1003,,,
,374,多谢大人，如此我便放心了。,"(40024,)",玩家,-1,"(375,)","(2,)","(-356,)",,2,,1003,,,
,375,不必言谢。,"(40024,)",雁北归,40024,,"(2,)","(-356,)",,2,,1003,,,
3-3-（31）-重华,376,哎呦呦，你倒是精神了？昨天还跟只瘟鸡似地。,"(40024,40006,)",重华,40006,"(377,)","(1,3,)","(-356,-309,)",,2,10006,1003,,,
,377,姑姑？你怎么来了？,"(40024,40006,)",雁北归,40024,"(378,)","(1,3,)","(-356,-309,)",,2,,1003,,,
,378,还不是你爹？听说你伤重，急得差点把……家里的地砖都磨穿了，还整天阴着个脸，吓得家里那些下人瑟瑟发抖。,"(40024,40006,)",重华,40006,"(379,)","(1,3,)","(-356,-309,)",,2,,1003,,,
,379,天还没亮呢，就派人将我找了去，让我来接你回去呢。,"(40024,40006,)",重华,40006,"(380,)","(1,3,)","(-356,-309,)",,2,,1003,,,
,380,来的是一名女子，穿着华美，约莫二十七八的样子。梳着妇人的发髻，脸上的笑容却很不羁，一看便知道是一个爽快泼辣的女子。,"(40024,40006,)",旁白,0,"(381,)","(1,3,)","(-356,-309,)",,2,,1003,,,
,381,见过夫人。,"(40024,40006,)",玩家,-1,"(382,)","(1,3,)","(-356,-309,)",,2,,1003,,,
,382,哎？这位小美人儿是谁？小子，是你的红颜知己吗？你也学会金屋藏娇了？看着还不错。,"(40024,40006,)",重华,40006,"(383,)","(1,3,)","(-356,-309,)",,2,,1003,,,
,383,姑姑，这位是南府的大小姐，并不是我的红颜知己。她于我有救命之恩，还望姑姑慎言。,"(40024,40006,)",雁北归,40024,"(384,)","(1,3,)","(-356,-309,)",,2,,1003,,,
,384,南府？户部尚书南鹤家的？南家夫人所出似乎只有一男一女吗？我见过似乎并不是这位姑娘的模样。,"(40024,40006,)",重华,40006,"(385,)","(1,3,)","(-356,-309,)",,2,,1003,,,
,385,小女子长期在外求学，您未见过也是常理之中。夫人所见的，应是我的二妹南且朝。,"(40024,40006,)",玩家,-1,"(386,)","(1,3,)","(-356,-309,)",,2,,1003,,,
,386,原来如此，没想到南叶仙那老痞子还藏着这么一个如花似玉的大闺女。,"(40024,40006,)",重华,40006,"(387,388,)","(1,3,)","(-356,-309,)",,2,,1003,,,
,387,夫人玩笑了。,"(40024,40006,)",玩家,-1,"(388,)","(1,3,)","(-356,-309,)",,2,,1003,,,
,388,正是，我爹那老痞子就是这般死命藏着掖着我这样如花似玉的闺女儿。捧着生怕摔着我，含在口中生怕我化了。故而夫人不曾见过我。,"(40024,40006,)",玩家,-1,"(389,)","(1,3,)","(-356,-309,)",,2,,1003,,,
,389,真是个有趣的小美人儿。,"(40024,40006,)",重华,40006,"(390,)","(1,3,)","(-356,-309,)",,2,,1003,,,
,390,好了，今日我有要务在身，就不与你闲聊了。燕来，跟我回去吧，你若再不肯回去，小心你爹亲自来抓你。,"(40024,40006,)",重华,40006,"(391,)","(1,3,)","(-356,-309,)",,2,,1003,,,
,391,我有伤在身，暂时不想回去，待明日我便搬去长风别院住罢，这样我爹也方便来看我。,"(40024,40006,)",雁北归,40024,"(392,)","(1,3,)","(-356,-309,)",,2,,1003,,,
,392,你啊就是仗着你爹疼你。,"(40024,40006,)",重华,40006,"(393,)","(1,3,)","(-356,-309,)",,2,,1003,,,
,393,有宠不用，过期作废。,"(40024,40006,)",雁北归,40024,"(394,)","(1,3,)","(-356,-309,)",,2,,1003,,,
,394,你个促狭鬼！,"(40024,40006,)",重华,40006,"(395,)","(1,3,)","(-356,-309,)",,2,,1003,,,
